Dataset,Subject,Calibration_Percentage,Fine_Tuning_Strategy,Model,Uncalibrated_Accuracy,Calibrated_Accuracy,Accuracy_Improvement,Uncalibrated_Macro_F1,Calibrated_Macro_F1,Macro_F1_Improvement
pamap2,101,0.0,none,CNN1D,0.768595041322314,0.768595041322314,0.0,0.7803700902966711,0.7803700902966711,0.0
pamap2,101,0.01,classifier_head_only,CNN1D,0.768595041322314,0.812206572769953,0.0436115314476389,0.7803700902966711,0.824870847093543,0.0445007567968718
pamap2,101,0.01,full_model,CNN1D,0.768595041322314,0.8242044861763171,0.0556094448540031,0.7803700902966711,0.8328176787451844,0.0524475884485132
pamap2,101,0.05,classifier_head_only,CNN1D,0.768595041322314,0.8184782608695652,0.0498832195472511,0.7803700902966711,0.8298614430713848,0.0494913527747136
pamap2,101,0.05,full_model,CNN1D,0.768595041322314,0.8679347826086956,0.0993397412863815,0.7803700902966711,0.8733593052250838,0.0929892149284126
pamap2,101,0.1,classifier_head_only,CNN1D,0.768595041322314,0.8129661503155479,0.0443711089932338,0.7803700902966711,0.8253865565313808,0.0450164662347096
pamap2,101,0.1,full_model,CNN1D,0.768595041322314,0.8823866896156053,0.1137916482932912,0.7803700902966711,0.8845954989378982,0.104225408641227
pamap2,102,0.0,none,CNN1D,0.7269607843137255,0.7269607843137255,0.0,0.754754556182695,0.754754556182695,0.0
pamap2,102,0.01,classifier_head_only,CNN1D,0.7269607843137255,0.7113861386138614,-0.0155746456998641,0.754754556182695,0.7429698367979841,-0.0117847193847109
pamap2,102,0.01,full_model,CNN1D,0.7269607843137255,0.69009900990099,-0.0368617744127354,0.754754556182695,0.7199281152419278,-0.0348264409407672
pamap2,102,0.05,classifier_head_only,CNN1D,0.7269607843137255,0.7352941176470589,0.0083333333333334,0.754754556182695,0.7621409135949438,0.0073863574122488
pamap2,102,0.05,full_model,CNN1D,0.7269607843137255,0.7946336429308566,0.0676728586171311,0.754754556182695,0.8057137316354646,0.0509591754527695
pamap2,102,0.1,classifier_head_only,CNN1D,0.7269607843137255,0.7619825708061002,0.0350217864923747,0.754754556182695,0.7862322135405441,0.031477657357849
pamap2,102,0.1,full_model,CNN1D,0.7269607843137255,0.8578431372549019,0.1308823529411764,0.754754556182695,0.8630069314294113,0.1082523752467162
pamap2,103,0.0,none,CNN1D,0.7948148148148149,0.7948148148148149,0.0,0.6384723163164114,0.6384723163164114,0.0
pamap2,103,0.01,classifier_head_only,CNN1D,0.7948148148148149,0.6596858638743456,-0.1351289509404692,0.6384723163164114,0.4871818512477111,-0.1512904650687003
pamap2,103,0.01,full_model,CNN1D,0.7948148148148149,0.6424831712789828,-0.152331643535832,0.6384723163164114,0.4798760851548485,-0.1585962311615629
pamap2,103,0.05,classifier_head_only,CNN1D,0.7948148148148149,0.8332034294621979,0.038388614647383,0.6384723163164114,0.6158249255866288,-0.0226473907297826
pamap2,103,0.05,full_model,CNN1D,0.7948148148148149,0.8690568978955573,0.0742420830807424,0.6384723163164114,0.6406749026984859,0.0022025863820744
pamap2,103,0.1,classifier_head_only,CNN1D,0.7948148148148149,0.8798353909465021,0.0850205761316872,0.6384723163164114,0.7926543058686196,0.1541819895522082
pamap2,103,0.1,full_model,CNN1D,0.7948148148148149,0.9349794238683128,0.1401646090534979,0.6384723163164114,0.8362963793556637,0.1978240630392522
pamap2,104,0.0,none,CNN1D,0.7582172701949861,0.7582172701949861,0.0,0.7561400016609452,0.7561400016609452,0.0
pamap2,104,0.01,classifier_head_only,CNN1D,0.7582172701949861,0.7795275590551181,0.0213102888601319,0.7561400016609452,0.7025023316218547,-0.0536376700390904
pamap2,104,0.01,full_model,CNN1D,0.7582172701949861,0.7862767154105736,0.0280594452155875,0.7561400016609452,0.7087498211640031,-0.0473901804969421
pamap2,104,0.05,classifier_head_only,CNN1D,0.7582172701949861,0.8018757327080891,0.043658462513103,0.7561400016609452,0.7991536857058564,0.0430136840449112
pamap2,104,0.05,full_model,CNN1D,0.7582172701949861,0.8218053927315357,0.0635881225365496,0.7561400016609452,0.7446785695107249,-0.0114614321502203
pamap2,104,0.1,classifier_head_only,CNN1D,0.7582172701949861,0.8143564356435643,0.0561391654485782,0.7561400016609452,0.8135302277201649,0.0573902260592197
pamap2,104,0.1,full_model,CNN1D,0.7582172701949861,0.8910891089108911,0.132871838715905,0.7561400016609452,0.8913131376309591,0.1351731359700139
pamap2,105,0.0,none,CNN1D,0.8398863098057793,0.8398863098057793,0.0,0.8456944997241863,0.8456944997241863,0.0
pamap2,105,0.01,classifier_head_only,CNN1D,0.8398863098057793,0.8531100478468899,0.0132237380411106,0.8456944997241863,0.8478564450829557,0.0021619453587693
pamap2,105,0.01,full_model,CNN1D,0.8398863098057793,0.8665071770334928,0.0266208672277135,0.8456944997241863,0.8598877200172468,0.0141932202930604
pamap2,105,0.05,classifier_head_only,CNN1D,0.8398863098057793,0.8803589232303091,0.0404726134245297,0.8456944997241863,0.8868387229751731,0.0411442232509867
pamap2,105,0.05,full_model,CNN1D,0.8398863098057793,0.8953140578265204,0.0554277480207411,0.8456944997241863,0.9006686739136667,0.0549741741894803
pamap2,105,0.1,classifier_head_only,CNN1D,0.8398863098057793,0.8894736842105263,0.049587374404747,0.8456944997241863,0.8934163027430159,0.0477218030188295
pamap2,105,0.1,full_model,CNN1D,0.8398863098057793,0.9352631578947368,0.0953768480889575,0.8456944997241863,0.9383324303716902,0.0926379306475039
pamap2,106,0.0,none,CNN1D,0.8595766649457924,0.8595766649457924,0.0,0.7858755758721108,0.7858755758721108,0.0
pamap2,106,0.01,classifier_head_only,CNN1D,0.8595766649457924,0.8816475495307612,0.0220708845849687,0.7858755758721108,0.8087272460549815,0.0228516701828707
pamap2,106,0.01,full_model,CNN1D,0.8595766649457924,0.8842544316996872,0.0246777667538947,0.7858755758721108,0.810500327666745,0.0246247517946341
pamap2,106,0.05,classifier_head_only,CNN1D,0.8595766649457924,0.9212384573601304,0.0616617924143378,0.7858755758721108,0.8452394228915606,0.0593638470194498
pamap2,106,0.05,full_model,CNN1D,0.8595766649457924,0.9380771319934816,0.0785004670476893,0.7858755758721108,0.8595599798276935,0.0736844039555827
pamap2,106,0.1,classifier_head_only,CNN1D,0.8595766649457924,0.900802752293578,0.0412260873477855,0.7858755758721108,0.8997433524049699,0.1138677765328591
pamap2,106,0.1,full_model,CNN1D,0.8595766649457924,0.9403669724770642,0.0807903075312718,0.7858755758721108,0.9402934693272236,0.1544178934551128
pamap2,107,0.0,none,CNN1D,0.8756936736958935,0.8756936736958935,0.0,0.8674657774964536,0.8674657774964536,0.0
pamap2,107,0.01,classifier_head_only,CNN1D,0.8756936736958935,0.8469730941704036,-0.0287205795254898,0.8674657774964536,0.7543395886398222,-0.1131261888566314
pamap2,107,0.01,full_model,CNN1D,0.8756936736958935,0.8480941704035875,-0.0275995032923059,0.8674657774964536,0.8229286415084128,-0.0445371359880407
pamap2,107,0.05,classifier_head_only,CNN1D,0.8756936736958935,0.8884345794392523,0.0127409057433588,0.8674657774964536,0.8052620444846267,-0.0622037330118269
pamap2,107,0.05,full_model,CNN1D,0.8756936736958935,0.9147196261682244,0.0390259524723308,0.8674657774964536,0.9061960192789577,0.038730241782504
pamap2,107,0.1,classifier_head_only,CNN1D,0.8756936736958935,0.9007398273736128,0.0250461536777193,0.8674657774964536,0.8980919515216413,0.0306261740251877
pamap2,107,0.1,full_model,CNN1D,0.8756936736958935,0.937731196054254,0.0620375223583605,0.8674657774964536,0.9369958433907238,0.0695300658942702
pamap2,108,0.0,none,CNN1D,0.3315270935960591,0.3315270935960591,0.0,0.2832685440853091,0.2832685440853091,0.0
pamap2,108,0.01,classifier_head_only,CNN1D,0.3315270935960591,0.4756218905472636,0.1440947969512045,0.2832685440853091,0.4043304514578887,0.1210619073725796
pamap2,108,0.01,full_model,CNN1D,0.3315270935960591,0.5810945273631841,0.249567433767125,0.2832685440853091,0.4958471106408875,0.2125785665555783
pamap2,108,0.05,classifier_head_only,CNN1D,0.3315270935960591,0.5438050803525143,0.2122779867564552,0.2832685440853091,0.4586501312544824,0.1753815871691733
pamap2,108,0.05,full_model,CNN1D,0.3315270935960591,0.6827371695178849,0.3512100759218258,0.2832685440853091,0.5962864880214299,0.3130179439361207
pamap2,108,0.1,classifier_head_only,CNN1D,0.3315270935960591,0.6283524904214559,0.2968253968253968,0.2832685440853091,0.5443044393875617,0.2610358953022525
pamap2,108,0.1,full_model,CNN1D,0.3315270935960591,0.8182813355227149,0.4867542419266558,0.2832685440853091,0.7697947886088975,0.4865262445235883
pamap2,109,0.0,none,CNN1D,0.75,0.75,0.0,0.1714285714285714,0.1714285714285714,0.0
pamap2,109,0.01,classifier_head_only,CNN1D,0.75,0.2553191489361702,-0.4946808510638298,0.1714285714285714,0.0581113801452784,-0.1133171912832929
pamap2,109,0.01,full_model,CNN1D,0.75,0.2765957446808511,-0.4734042553191489,0.1714285714285714,0.0619047619047619,-0.1095238095238095
pamap2,109,0.05,classifier_head_only,CNN1D,0.75,0.5869565217391305,-0.1630434782608695,0.1714285714285714,0.1232876712328767,-0.0481409001956947
pamap2,109,0.05,full_model,CNN1D,0.75,0.6521739130434783,-0.0978260869565217,0.1714285714285714,0.112781954887218,-0.0586466165413533
pamap2,109,0.1,classifier_head_only,CNN1D,0.75,0.6590909090909091,-0.0909090909090909,0.1714285714285714,0.158904109589041,-0.0125244618395303
pamap2,109,0.1,full_model,CNN1D,0.75,0.6818181818181818,-0.0681818181818182,0.1714285714285714,0.1621621621621621,-0.0092664092664092
pamap2,101,0.0,none,Flatten_LSTM,0.8549222797927462,0.8549222797927462,0.0,0.8537616609312124,0.8537616609312124,0.0
pamap2,101,0.01,classifier_head_only,Flatten_LSTM,0.8549222797927462,0.859375,0.0044527202072538,0.8537616609312124,0.8583039824090178,0.0045423214778054
pamap2,101,0.01,full_model,Flatten_LSTM,0.8549222797927462,0.8333333333333334,-0.0215889464594127,0.8537616609312124,0.8223170714215352,-0.0314445895096772
pamap2,101,0.05,classifier_head_only,Flatten_LSTM,0.8549222797927462,0.8641304347826086,0.0092081549898624,0.8537616609312124,0.8636157198193793,0.0098540588881669
pamap2,101,0.05,full_model,Flatten_LSTM,0.8549222797927462,0.8967391304347826,0.0418168506420364,0.8537616609312124,0.904216452407242,0.0504547914760294
pamap2,101,0.1,classifier_head_only,Flatten_LSTM,0.8549222797927462,0.8620689655172413,0.0071466857244951,0.8537616609312124,0.8550093134435214,0.0012476525123089
pamap2,101,0.1,full_model,Flatten_LSTM,0.8549222797927462,0.8850574712643678,0.0301351914716216,0.8537616609312124,0.8688065720126139,0.0150449110814014
pamap2,102,0.0,none,Flatten_LSTM,0.7647058823529411,0.7647058823529411,0.0,0.6789195761356023,0.6789195761356023,0.0
pamap2,102,0.01,classifier_head_only,Flatten_LSTM,0.7647058823529411,0.7673267326732673,0.0026208503203262,0.6789195761356023,0.6865136983488048,0.0075941222132025
pamap2,102,0.01,full_model,Flatten_LSTM,0.7647058823529411,0.7970297029702971,0.0323238206173559,0.6789195761356023,0.7402300322543512,0.0613104561187489
pamap2,102,0.05,classifier_head_only,Flatten_LSTM,0.7647058823529411,0.7783505154639175,0.0136446331109764,0.6789195761356023,0.6855232629776391,0.0066036868420368
pamap2,102,0.05,full_model,Flatten_LSTM,0.7647058823529411,0.8144329896907216,0.0497271073377805,0.6789195761356023,0.7473644939522233,0.0684449178166209
